Installs,Size Num
"1,000,000+",28000
"10,000+",2200
"10,000+",3400
"10,000+",8300
"10,000+",4300
"10,000+",4700
"100,000+",10000
"5,000,000+",15000
"100,000+",7100
"1,000,000+",21000
"100,000+",6100
"1,000,000+",15000
"1,000,000+",11000
"1,000,000+",29000
"100,000+",3300
"50,000+",22000
"100,000+",40000
"10,000+",10000
"10,000+",9100
"5,000+",4700
"500,000+",38000
"5,000+",6700
"1,000+",37000
"10,000+",7800
"50,000+",19000
"1,000,000+",5700
"100,000+",35000
"10,000,000+",17000
"5,000,000+",8800
"100,000,000+",16000
"100,000,000+",11000
"100,000,000+",11000
"5,000,000+",15000
"5,000,000+",6600
"10,000,000+",6600
"10,000,000+",5100
"1,000,000+",18000
"1,000,000+",4000
"10,000,000+",37000
"5,000,000+",22000
"100,000,000+",3300
"10,000,000+",32000
"1,000,000+",37000
"100,000+",17000
"10,000,000+",35000
"100,000,000+",40000
"5,000,000+",61000
"5,000,000+",66000
"100,000,000+",11000
"10,000,000+",79
"10,000,000+",25000
"5,000,000+",14000
"100,000,000+",24000
"1,000,000+",17000
"10,000,000+",8300
"10,000,000+",8200
"1,000,000+",8400
"1,000,000+",4000
"1,000,000+",32000
"50,000,000+",6100
"1,000,000+",2800
"100,000,000+",3300
"100,000,000+",40000
"1,000,000+",2200
"1,000,000+",4300
"10,000,000+",4700
"500,000+",2300
"500,000+",2300
"10,000,000+",11000
"10,000,000+",2700
"5,000,000+",14000
"1,000,000+",13000
"1,000,000+",3700
"5,000,000+",10000
"10,000,000+",13000
"1,000,000+",10000
"10,000,000+",13000
"1,000,000+",8800
"1,000,000+",5500
"10,000,000+",20000
"10,000,000+",29000
"5,000,000+",11000
"1,000,000+",17000
"5,000,000+",17000
"1,000,000+",118
"100,000,000+",16000
"5,000,000+",5100
"1,000,000+",44000
"1,000,000+",7300
"1,000,000+",30000
"10,000,000+",695
"10,000+",1600
"5,000,000+",19000
"100,000,000+",11000
"1,000,000+",23000
"5,000,000+",26000
"1,000+",6200
50+,20000
100+,18
100+,1200
100+,17000
"10,000,000+",15000
"100,000+",56000
"500,000+",12000
"5,000,000+",11000
"1,000,000+",29000
"1,000,000+",40000
"5,000,000+",53000
"5,000,000+",3100
"100,000+",24000
"500,000+",23000
"1,000,000+",5000
"1,000,000+",44000
"10,000+",27000
"1,000,000+",6100
"100,000+",21000
"10,000,000+",11000
"1,000,000+",21000
"100,000+",24000
"500,000+",31000
"5,000+",27000
"500,000+",6200
"1,000,000+",12000
"100,000+",8000
"1,000,000+",5900
"1,000,000+",7900
"100,000+",5000
"100,000+",1400
"500,000+",13000
"500,000+",40000
"500,000+",13000
"100,000+",19000
"500,000+",5000
"500,000+",19000
"100,000+",27000
"50,000+",3000
"1,000,000+",13000
"1,000,000+",7200
"100,000+",25000
"100,000+",5700
"10,000+",5500
"1,000,000+",6500
"100,000+",5800
"500,000+",3800
"100,000+",41000
"1,000,000+",7900
"50,000+",2800
"5,000,000+",20000
"500,000+",15000
"100,000+",28000
"100,000+",9600
"500,000+",13000
"10,000,000+",15000
"1,000,000+",40000
"100,000+",56000
"500,000+",12000
"100,000+",9400
"1,000,000+",29000
"5,000,000+",11000
"500,000+",19000
"500,000+",23000
"10,000+",27000
"100,000+",19000
"100,000+",45000
"1,000,000+",21000
"500,000+",40000
"100,000+",25000
"1,000,000+",15000
"100,000+",24000
"10,000,000+",11000
"50,000+",38000
"500,000+",31000
"1,000,000+",6100
"100,000+",27000
"10,000+",32000
"500,000+",13000
"1,000,000+",63000
"100,000+",44000
"10,000+",16000
"10,000+",28000
"1,000,000+",5900
"500,000+",13000
"500,000+",9000
"500,000+",20000
"1,000,000+",7900
"100,000+",28000
"500,000+",49000
"10,000+",27000
"100,000+",18000
"100,000+",14000
"500,000+",27000
"100,000+",41000
"1,000,000+",38000
"10,000+",5500
"10,000+",27000
"1,000,000+",7200
"10,000,000+",21000
"10,000+",8800
"100,000+",38000
"1,000,000+",11000
"1,000,000+",6500
"50,000+",26000
"10,000+",19000
"500,000+",6100
"5,000,000+",77000
"1,000,000+",9500
"1,000+",14000
"5,000+",38000
"1,000+",16000
500+,3400
"5,000+",4700
"10,000+",5000
100+,4900
"10,000+",4900
"1,000+",16000
100+,3900
"1,000+",4400
"1,000+",4800
"1,000+",4500
100+,70000
500+,4900
500+,3700
"5,000+",4900
100+,16000
100+,4600
50+,3600
"5,000+",21000
50+,13000
500+,8700
10+,9200
500+,6900
500+,39000
100+,8000
"1,000+",3900
10+,14000
100+,11000
10+,13000
500+,9300
500+,5000
10+,10000
100+,5000
100+,5000
10+,3600
10+,19000
100+,5000
50+,9800
100+,14000
100+,5000
10+,4900
500+,5500
"1,000+",11000
500+,3800
50+,5000
10-,8200
10+,21000
"1,000+",12000
10-,10000
50+,3300
100+,25000
"10,000+",15000
500+,10000
"1,000+",4900
10+,4400
10-,3500
10+,7800
100+,9000
"1,000,000+",15000
"100,000+",19000
"100,000+",56000
"5,000+",38000
"1,000+",16000
"1,000,000+",5000
"5,000+",27000
"1,000+",4700
500+,3400
100+,4900
"100,000+",25000
"1,000,000+",29000
"500,000+",8100
"1,000+",14000
"10,000+",27000
100+,3900
"500,000+",13000
"10,000+",5000
"10,000+",5500
"1,000+",16000
"1,000+",4800
500+,14000
"5,000+",4700
"10,000+",3700
"10,000+",4900
"50,000+",3500
"10,000+",4500
"5,000+",36000
"10,000+",4500
"1,000+",19000
"10,000+",14000
"5,000,000+",77000
"100,000+",21000
"1,000,000+",7900
"5,000+",9300
"10,000,000+",18000
"100,000+",18000
"5,000,000+",21000
"10,000,000+",3300
"100,000+",24000
"5,000,000+",39000
"1,000,000+",3200
"500,000+",5100
"500,000+",11000
"1,000,000+",27000
"1,000,000+",37000
"1,000,000+",26000
"500,000+",11000
"500,000+",41000
"1,000,000+",49000
"10,000,000+",21000
"10,000,000+",8100
"1,000,000+",51000
"5,000,000+",14000
"50,000+",18000
"1,000,000+",3000
"1,000,000+",19000
"1,000,000+",22000
"1,000,000+",6900
"500,000+",7400
"1,000,000+",84000
"5,000,000+",25000
"1,000,000+",18000
"500,000+",2500
"100,000+",3900
"100,000+",21000
"5,000,000+",27000
"5,000,000+",21000
"10,000,000+",18000
"1,000,000+",18000
"1,000,000+",10000
"1,000,000+",97000
"1,000,000+",17000
"10,000+",2000
"50,000+",1900
"1,000,000+",1800
"1,000,000+",1800
"1,000,000+",17000
"1,000,000+",18000
"1,000,000+",5300
"1,000,000+",5400
"1,000,000+",5400
"1,000,000+",5400
"1,000,000+",15000
"1,000,000+",5300
"100,000+",48000
"1,000,000+",5400
"100,000+",47000
"10,000+",556
"10,000+",29000
"50,000+",2300
"100,000+",4400
"100,000+",6600
"10,000+",526
"100,000+",12000
"50,000+",29000
"5,000,000+",21000
"10,000,000+",18000
"1,000,000+",18000
"1,000,000+",17000
"1,000,000+",10000
"5,000,000+",76000
"1,000,000+",17000
"1,000,000+",18000
"10,000,000+",21000
"5,000,000+",6900
"5,000,000+",14000
"5,000,000+",76000
"1,000,000+",11000
"500,000+",19000
"1,000,000+",6500
"1,000,000+",7000
"10,000,000+",3300
"10,000,000+",21000
"500,000+",2600
"1,000,000+",21000
"1,000,000+",5200
"50,000+",18000
"100,000+",16000
"100,000+",15000
"100,000+",1200
"10,000,000+",18000
"100,000+",1800
"10,000+",7600
"10,000,000+",59000
"500,000+",6900
"5,000,000+",14000
"5,000,000+",41000
"500,000+",19000
"5,000,000+",76000
"10,000,000+",21000
"500,000+",21000
"10,000,000+",21000
"1,000,000+",21000
"1,000,000+",5400
"100,000+",7300
"10,000,000+",59000
"5,000,000+",41000
"10,000,000+",21000
"5,000,000+",76000
"1,000,000+",7600
"1,000,000+",13000
"1,000+",63000
"1,000+",44000
"500,000+",24000
"100,000+",24000
"1,000,000+",4500
"10,000,000+",11000
"10,000,000+",4600
"10,000,000+",3300
"5,000,000+",6500
"1,000,000+",12000
"5,000,000+",5600
"1,000,000+",9700
"1,000,000+",15000
"100,000,000+",52000
"1,000,000+",4500
"50,000,000+",49000
"5,000,000+",18000
"10,000,000+",13000
"1,000,000+",4000
"10,000,000+",16000
"1,000,000+",17000
"50,000,000+",24000
"100,000,000+",12000
"1,000,000+",78000
"50,000,000+",25000
"100,000,000+",57000
"100,000+",9100
"1,000,000+",39000
"10,000,000+",16000
"100,000+",8500
"100,000+",12000
"1,000,000+",72000
"100,000,000+",12000
"100,000+",16000
"100,000+",9600
"1,000,000+",22000
"1,000,000+",13000
"10,000,000+",12000
"50,000+",23000
"1,000,000+",20000
"10,000,000+",25000
"1,000,000+",17000
"1,000,000+",19000
"5,000,000+",21000
"1,000,000+",19000
"1,000,000+",19000
"1,000,000+",4400
"1,000,000+",19000
"100,000,000+",12000
"10,000,000+",11000
"10,000,000+",12000
"10,000,000+",25000
"5,000,000+",21000
"500,000+",13000
"5,000,000+",17000
"1,000,000+",20000
"10,000,000+",20000
"1,000,000+",19000
"1,000,000+",17000
"500,000+",21000
"1,000,000+",15000
"1,000,000+",19000
"1,000,000+",19000
"1,000,000+",7200
"10,000,000+",32000
"10,000,000+",44000
"1,000,000+",19000
"10,000,000+",11000
"10,000,000+",25000
"10,000,000+",16000
"1,000,000+",20000
"5,000,000+",21000
"10,000,000+",30000
"100,000+",57000
"1,000,000+",19000
"1,000,000+",17000
"1,000,000+",15000
"1,000,000+",19000
"1,000,000+",19000
"1,000,000+",19000
"10,000,000+",44000
"1,000,000+",19000
"1,000,000+",35000
"10,000+",44000
"100,000+",20000
"5,000,000+",19000
"10,000,000+",25000
"100,000+",43000
"1,000,000+",3600
"1,000,000+",7700
"1,000,000+",44000
"10,000,000+",12000
"100,000+",53000
"10,000,000+",77000
"100,000+",9500
"5,000,000+",36000
"500,000+",6300
"50,000+",5900
"1,000,000+",12000
"10,000+",2800
"1,000,000+",26000
"100,000+",8700
"10,000+",16000
"1,000,000+",53000
"100,000+",14000
"100,000+",8900
"50,000+",11000
"1,000+",334
"1,000,000+",24000
"10,000+",13000
"50,000+",2800
100+,9700
100+,1400
"100,000+",3500
500+,61000
"100,000+",6000
100+,2300
"100,000+",9000
100+,11000
"1,000+",27000
"5,000+",3600
"1,000+",29000
"100,000+",4400
100+,21000
"1,000+",13000
"50,000+",27000
"5,000+",11000
"100,000+",24000
100+,6100
"1,000+",6300
"1,000+",23000
100+,34000
500+,3800
"5,000,000+",42000
"5,000,000+",19000
"10,000,000+",70000
"500,000+",32000
"5,000,000+",93000
"10,000,000+",40000
"5,000,000+",24000
"1,000,000+",20000
"10,000,000+",15000
"1,000,000+",28000
"5,000,000+",10000
"1,000,000+",14000
"1,000,000+",42000
"1,000,000+",65000
"10,000,000+",37000
"1,000,000+",39000
"50,000,000+",47000
"10,000,000+",79000
"1,000,000+",18000
"1,000,000+",100000
"10,000,000+",32000
"1,000,000+",46000
"5,000,000+",9800
"1,000,000+",8200
"5,000,000+",18000
"10,000,000+",39000
"10,000+",44000
"100,000+",5000
"100,000+",21000
"100,000+",22000
"1,000,000+",23000
"1,000,000+",27000
"100,000+",5000
"500,000+",32000
"1,000,000+",7400
"100,000+",24000
"500,000+",22000
"1,000,000+",10000
"100,000+",17000
"100,000+",38000
"1,000,000+",46000
"1,000,000+",3800
"50,000+",9300
"1,000,000+",8400
"100,000+",28000
"100,000+",9700
"1,000,000+",11000
"1,000,000+",7400
"100,000+",19000
"1,000,000+",16000
"100,000+",14000
"1,000,000+",22000
"1,000,000+",25000
"50,000+",3600
"500,000+",4500
"1,000,000+",23000
"100,000+",4200
"1,000,000+",58000
"1,000,000+",22000
"1,000,000+",1400
"500,000+",9100
"100,000+",22000
"50,000+",21000
"100,000+",11000
"1,000,000+",38000
"500,000+",12000
"1,000,000+",45000
"500,000+",50000
"100,000+",24000
"50,000,000+",47000
"1,000,000+",23000
"100,000+",46000
"100,000+",45000
"1,000,000+",50000
"1,000,000+",24000
"5,000,000+",33000
"50,000+",12000
"10,000,000+",53000
"10,000+",14000
"5,000,000+",68000
"10,000,000+",37000
"10,000,000+",79000
"1,000,000+",32000
"5,000,000+",46000
"1,000,000+",40000
"10,000,000+",32000
"1,000,000+",24000
"10,000,000+",42000
"50,000+",12000
"10,000,000+",13000
"1,000,000+",13000
"10,000+",4900
"100,000+",8900
"10,000,000+",19000
"500,000+",14000
"10,000,000+",64000
"500,000+",8400
"50,000+",11000
"1,000,000+",66000
"1,000,000+",41000
"500,000+",15000
"5,000,000+",35000
"1,000,000+",36000
"5,000,000+",17000
"1,000,000+",25000
"10,000,000+",35000
"100,000+",10000
"5,000,000+",12000
"1,000,000+",11000
"1,000,000+",17000
"1,000,000+",43000
"1,000,000+",41000
"100,000+",43000
"100,000+",16000
"1,000,000+",39000
"50,000+",13000
"500,000+",30000
"500,000+",7100
"100,000+",23000
"1,000,000+",17000
"1,000,000+",18000
"100,000+",17000
"500,000+",15000
"100,000+",22000
"10,000+",9000
"50,000+",7200
"50,000+",2300
"1,000,000+",27000
"10,000,000+",8200
"1,000,000+",76000
"1,000,000+",22000
"5,000,000+",19000
"50,000+",28000
"5,000,000+",35000
"1,000,000+",22000
"100,000+",25000
"10,000,000+",30000
"100,000+",8500
"5,000,000+",17000
"10,000,000+",34000
"1,000,000+",34000
"5,000,000+",17000
"10,000,000+",16000
"10,000,000+",15000
"500,000+",2200
"5,000,000+",11000
"1,000,000+",6900
"10,000,000+",13000
"10,000,000+",11000
"10,000,000+",2900
"10,000,000+",25000
"10,000,000+",7000
"10,000,000+",27000
"1,000,000+",7500
"1,000,000+",15000
"100,000+",9400
"500,000+",6400
"100,000+",5500
"500,000+",3900
"5,000,000+",55000
"1,000,000+",28000
"50,000+",8800
"500,000+",4000
"100,000+",6900
"1,000,000+",11000
"500,000+",5500
"5,000,000+",15000
"1,000,000+",4300
"100,000+",7100
"5,000,000+",58000
"100,000+",18000
"1,000,000+",1500
"500,000+",6500
"100,000+",11000
"10,000,000+",67000
"5,000,000+",57000
"1,000,000+",59000
"500,000+",48000
"1,000,000+",57000
"1,000,000+",13000
"5,000,000+",31000
"1,000,000+",10000
"5,000,000+",57000
"500,000+",21000
"10,000,000+",25000
"10,000,000+",93000
"1,000,000+",60000
"5,000,000+",27000
"1,000,000+",54000
"1,000,000+",59000
"5,000,000+",78000
"1,000,000+",55000
"10,000,000+",67000
"5,000,000+",35000
"1,000,000+",43000
"100,000+",39000
"1,000,000+",4200
"500,000+",44000
"500,000+",45000
"1,000,000+",28000
"10,000+",29000
"500,000+",12000
"100,000+",15000
"100,000+",31000
"500,000+",20000
"10,000,000+",39000
"100,000+",94000
"5,000,000+",35000
"1,000,000+",41000
"1,000,000+",49000
"1,000,000+",22000
"1,000,000+",23000
"1,000,000+",28000
"1,000,000+",7200
"500,000+",6500
"500,000+",24000
"10,000,000+",20000
"5,000,000+",15000
"500,000+",55000
"1,000,000+",38000
"1,000,000+",32000
"50,000+",40000
"1,000,000+",59000
"5,000,000+",23000
"1,000,000+",6100
"5,000,000+",58000
"5,000,000+",55000
"5,000,000+",57000
"10,000,000+",93000
"1,000,000+",60000
"1,000,000+",19000
"500,000+",3800
"1,000,000+",18000
"1,000,000+",57000
"100,000+",5500
"1,000,000+",5700
"100,000+",51000
"50,000+",9400
"500,000+",3300
"100,000+",4000
"1,000,000+",19000
"500,000+",3800
"5,000,000+",4300
"1,000,000+",18000
"1,000,000+",5700
"100,000+",3600
"100,000+",5500
"1,000,000+",57000
"100,000+",51000
"5,000,000+",58000
"50,000+",9400
"500,000+",3300
"100,000+",4000
"500,000+",9900
"1,000,000+",43000
"100,000+",37000
"100,000+",40000
"500,000+",73000
"1,000,000+",28000
"500,000+",23000
"500,000+",10000
"100,000+",15000
"1,000,000+",8400
"5,000,000+",31000
"1,000,000+",41000
"500,000+",20000
"10,000,000+",39000
"5,000,000+",35000
"10,000,000+",34000
"100,000+",7500
"10,000,000+",12000
"5,000,000+",7700
"1,000,000+",21000
"1,000,000+",18000
"1,000,000+",40000
"10,000+",8700
"500,000+",8600
"1,000,000+",18000
"1,000,000+",7500
"1,000,000+",9100
"1,000,000+",13000
"100,000+",15000
"1,000,000+",19000
"5,000+",5100
"5,000,000+",26000
"10,000+",8300
"100,000+",27000
"500,000+",7900
"100,000+",27000
"1,000,000+",5100
"100,000+",15000
"100,000+",3100
"1,000,000+",16000
"500,000+",9200
"500,000+",10000
"5,000+",2600
"100,000+",13000
"10,000+",1900
"50,000+",7000
"100,000+",15000
"10,000+",4200
"100,000+",7800
"1,000,000+",77000
"100,000+",5700
"500,000+",5900
"1,000,000+",7600
"50,000+",5800
"1,000,000+",5800
"500,000+",5300
"1,000,000+",5500
"1,000,000+",25000
"500,000+",35000
"500,000+",7900
"1,000,000+",19000
"1,000,000+",7500
"10,000,000+",12000
"10,000,000+",34000
"500,000+",30000
"1,000,000+",16000
"50,000+",16000
"10,000+",15000
"100,000+",21000
"1,000+",1800
"100,000+",4300
"10,000+",10000
"100,000+",3700
"5,000,000+",232
"50,000+",99000
"10,000,000+",624
"1,000+",6900
"100,000+",7000
"50,000+",7000
"100,000+",6400
"100,000+",16000
"10,000+",5900
"50,000+",95000
"50,000+",8.5
"100,000+",20000
"100,000+",2500
"10,000,000+",50000
"10,000+",10000
"100,000+",18000
"10,000+",12000
"10,000+",2500
"5,000+",2100
"500,000+",22000
"5,000,000+",41
"100,000+",22000
"1,000,000+",292
"10,000+",5500
"1,000+",2500
"500,000+",8100
"1,000,000+",28000
"100,000+",24000
"1,000,000+",3100
"10,000+",3400
"1,000,000+",11
"500,000+",13000
"500,000+",19000
"100,000+",9500
"50,000+",21000
"500,000+",9400
"500,000+",2400
"1,000,000+",36000
"100,000+",55000
"5,000,000+",32000
"10,000,000+",34000
"100,000+",5100
"10,000,000+",100000
"5,000,000+",80000
"1,000,000+",3300
"5,000,000+",28000
"1,000,000+",5000
"10,000,000+",11000
"1,000,000+",55000
"1,000,000+",7100
"5,000,000+",3200
"10,000,000+",4400
"500,000+",16000
"5,000,000+",6300
"10,000,000+",45000
"1,000,000+",23000
"1,000,000+",37000
"10,000,000+",13000
"5,000,000+",8100
"1,000,000+",13000
"10,000,000+",14000
"50,000,000+",30000
"1,000,000+",36000
"500,000+",3000
"500,000+",1400
"1,000,000+",39000
"5,000,000+",1800
"1,000,000+",1700
"1,000,000+",19000
"100,000+",15000
"1,000,000+",10000
"1,000,000+",2700
"10,000,000+",16000
"1,000,000+",21000
"1,000,000+",20000
"10,000,000+",14000
"500,000+",76000
"10,000,000+",18000
"1,000,000+",12000
"1,000,000+",6200
"100,000+",6800
"500,000+",24000
"1,000,000+",19000
"1,000,000+",13000
"1,000,000+",15000
"100,000+",13000
"1,000,000+",44000
"100,000+",9700
"500,000+",24000
"500,000+",13000
"10,000+",4500
"100,000+",4500
"5,000,000+",29000
"1,000,000+",12000
"500,000+",12000
"10,000+",4600
"1,000,000+",10000
"100,000+",6800
"10,000,000+",33000
"500,000+",12000
"10,000+",4600
"1,000,000+",10000
"100,000+",6800
"10,000,000+",33000
"100,000+",13000
"50,000+",15000
"5,000+",23000
"100,000+",7700
"100,000+",15000
"50,000+",25000
"100,000+",3000
"1,000,000+",22000
"500,000+",7500
"1,000,000+",24000
"1,000,000+",44000
"100,000+",14000
"100,000,000+",67000
"100,000,000+",76000
"100,000,000+",74000
"10,000,000+",23000
"10,000,000+",46000
"50,000,000+",24000
"100,000,000+",97000
"100,000,000+",62000
"100,000,000+",24000
"100,000,000+",33000
"5,000,000+",7800
"100,000,000+",46000
"100,000,000+",69000
"100,000,000+",75000
"100,000,000+",67000
"1,000,000+",50000
"100,000,000+",98000
"5,000,000+",4900
"100,000,000+",37000
"1,000,000+",18000
"100,000,000+",52000
"50,000,000+",78000
"10,000,000+",3900
"50,000,000+",59000
"100,000,000+",97000
"100,000,000+",11000
"10,000,000+",38000
"10,000,000+",85000
"50,000,000+",78000
"100,000,000+",63000
"10,000,000+",24000
"10,000,000+",69000
"10,000,000+",75000
"100,000,000+",70000
"10,000,000+",63000
"100,000,000+",99000
"100,000,000+",49000
"100,000,000+",76000
"100,000,000+",67000
"100,000,000+",24000
"100,000,000+",52000
"100,000,000+",98000
"100,000,000+",74000
"100,000,000+",69000
"100,000,000+",82000
"100,000,000+",96000
"100,000,000+",99000
"10,000,000+",46000
"10,000,000+",99000
"10,000,000+",87000
"10,000,000+",3900
"100,000,000+",67000
"100,000,000+",53000
"5,000,000+",7800
"100,000,000+",97000
"50,000,000+",59000
"100,000,000+",46000
"10,000,000+",75000
"1,000,000+",50000
"100,000,000+",62000
"5,000,000+",23000
"10,000,000+",72000
"100,000,000+",70000
"1,000,000+",18000
"100,000,000+",35000
"100,000,000+",78000
"10,000,000+",25000
"100,000,000+",74000
"100,000,000+",97000
"10,000,000+",17000
"100,000,000+",53000
"100,000,000+",11000
"10,000,000+",60000
"50,000,000+",57000
"1,000,000+",14000
"100,000,000+",67000
"100,000,000+",33000
"100,000,000+",76000
"100,000,000+",74000
"50,000,000+",40000
"50,000,000+",59000
"100,000,000+",52000
"100,000,000+",100000
"100,000,000+",62000
"100,000,000+",85000
"10,000,000+",87000
"10,000,000+",33000
"50,000,000+",32000
"10,000,000+",40000
"1,000,000+",29000
"10,000,000+",40000
"5,000,000+",24000
"5,000,000+",38000
"100,000,000+",52000
"1,000,000+",54000
"10,000,000+",71000
"10,000,000+",73000
"50,000,000+",57000
"500,000+",38000
"1,000,000+",62000
"100,000,000+",95000
"5,000,000+",16000
"5,000,000+",39000
"10,000,000+",78000
"50,000,000+",36000
"10,000,000+",31000
"10,000,000+",98000
"50,000,000+",24000
"10,000,000+",85000
"100,000,000+",33000
"5,000,000+",100000
"50,000,000+",36000
"10,000,000+",86000
"1,000,000+",80000
"10,000,000+",87000
"1,000,000+",79000
"10,000,000+",30000
"10,000,000+",87000
"5,000,000+",91000
"10,000,000+",63000
"5,000,000+",95000
"5,000,000+",48000
"5,000,000+",93000
"5,000,000+",53000
"1,000,000+",82000
"5,000,000+",99000
"10,000,000+",49000
"1,000,000+",25000
"5,000,000+",91000
"1,000,000+",52000
"10,000,000+",56000
"10,000,000+",56000
"10,000,000+",85000
"1,000,000+",81000
"1,000,000+",82000
"5,000,000+",98000
"10,000,000+",77000
"5,000,000+",99000
"100,000+",96000
"1,000,000+",96000
"1,000,000+",82000
"100,000+",70000
"100,000+",63000
"100,000+",35000
"100,000+",48000
"100,000+",84000
"100,000+",15000
"100,000+",69000
"100,000+",46000
"100,000+",15000
"100,000+",33000
"5,000,000+",48000
"100,000,000+",67000
"100,000,000+",74000
"100,000,000+",57000
"100,000,000+",52000
"10,000,000+",25000
"50,000,000+",36000
"10,000,000+",31000
"5,000,000+",91000
"50,000,000+",92000
"5,000,000+",70000
"10,000,000+",93000
"10,000,000+",52000
"5,000,000+",91000
"10,000,000+",37000
"10,000,000+",64000
"500,000+",35000
"1,000,000+",97000
"5,000,000+",93000
"50,000,000+",28000
"5,000,000+",83000
"10,000,000+",99000
"500,000+",55000
"1,000,000+",82000
"50,000,000+",14000
"5,000,000+",81000
"100,000,000+",74000
"100,000,000+",67000
"100,000,000+",52000
"100,000,000+",76000
"100,000,000+",67000
"1,000,000+",50000
"10,000,000+",46000
