Price_num,Reviews
9.99,2
6.99,12
2.49,892
4.99,244
0.99,42
1.49,6
1.49,10
4.99,166
0.99,9
1.49,12
2.99,265
0.99,341
3.99,253
1.99,12
2.49,0
1.49,1
2.49,0
2.49,94
4.99,11
4.99,654
10,171
1.99,16851
5.99,2
5.99,0
5.99,1
0.99,167
5.49,1
5.99,131
5.99,0
5.99,0
0.99,0
3.49,15753
4.99,12400
2.99,766
2.99,52
8.99,19
2.99,9
0.99,70
0.99,0
3.49,1
1.49,0
4.99,2557
4.99,0
2.99,339
3.04,1
3.99,1764
29.99,1
2.99,1
2.99,0
3.99,2
0.99,6
2.99,470
8.99,5
4.99,19
12.99,10
2.49,3
2.99,28107
2.99,315
0.99,0
2.99,6505
0.99,2
1.99,50
0.99,0
0.99,5
1.99,426
1.99,505
2.99,7
4.49,89
8.49,130
2.49,4856
19.99,7812
9.99,1661
1.99,617
2.99,9659
4.99,2576
14.99,3358
9.99,11250
13.99,8450
4.29,84
2.99,265
2.99,54
2.99,1013
1.99,2311
3.99,3397
4.99,18
4.99,76
3.99,429
2.99,1091
2.99,3725
2.99,1357
4.99,87766
12.99,21
2.6,3
3.28,1417
4.99,1
2.99,2
2.99,190086
2.99,4328
4.99,206
3.99,499
3.99,14051
4.6,116
4.99,770
0.99,56
1.49,13
2.99,416
1,552
0.99,3195
5.99,0
0.99,7
2.99,28
2.99,1
1.99,4
0.99,5
0.99,0
0.99,13
1.49,5
3.99,8
2.99,46
1.49,1763
0.99,14
5.99,0
28.99,0
0.99,32344
4.99,56444
0.99,32496
0.99,38419
0.99,0
10.99,159
14.99,47
1.99,20
9.99,2
12.99,5969
0.99,56
2.99,2
3.99,0
1.49,1880
9.99,2
2.95,3356
1.99,143
2.99,32812
1.99,48
2.9,5599
0.99,751
1.99,12
1.97,313
2.99,18652
24.99,2923
3.99,35
0.99,21
2.49,200
4.49,57076
6.99,416
4.99,15
1.99,0
2.49,1
1.99,188740
0.99,14
2.99,1516
2.99,144
1.99,0
0.99,4
3.99,11023
0.99,0
1.99,11
200,0
2.99,8014
89.99,6
2.99,81614
2.99,58
4.99,1719
2.56,39
0.99,444
30.99,0
3.61,0
394.99,0
1.26,3
5.99,238
399.99,0
2.99,43045
0.99,1330
9.99,13752
0.99,9699
2.49,28728
1.99,1090
0.99,2645
4.99,168
1.49,223
4.99,33
4.99,257
4.99,164
4.99,138
4.99,130
1.99,1
0.99,15
0.99,21
3.99,5474
1.49,5
2.99,936
1.99,2
1.99,615
2.99,197
0.99,481
7.99,112
2.99,201
2.99,85
1.99,15
1,142
1.49,1
3.49,12700
2.99,67
1.99,60
6.99,30
0.99,656
1.99,340
8.99,11460
5.49,1
6.49,1
5.99,1
6.49,1
6.49,1
6.49,0
5.99,2
5.49,0
0.99,6
2.99,11235
0.99,85468
0.99,5
0.99,2
0.99,17
7.99,35
16.99,252
1.2,1405
1.04,0
