,Rating_num,Installs
112,4.1,"50,000+"
114,4.2,"10,000+"
115,4.5,"10,000+"
116,4.4,"10,000+"
117,4.0,"10,000,000+"
118,4.1,"500,000+"
119,4.1,"1,000,000+"
120,4.4,"50,000+"
121,4.6,"10,000+"
122,4.5,"1,000,000+"
124,3.9,"500,000+"
125,4.4,"500,000+"
127,4.6,"10,000+"
128,3.8,"5,000+"
131,4.0,"100,000+"
132,4.3,"5,000+"
133,4.5,"100,000+"
135,4.1,"10,000+"
136,3.7,"1,000,000+"
137,4.7,"50,000+"
138,4.2,"10,000+"
139,4.6,"100,000,000+"
140,4.5,"50,000+"
141,4.6,"100,000+"
142,4.4,"10,000,000+"
143,4.2,"100,000,000+"
144,4.5,"10,000,000+"
145,4.5,"10,000,000+"
146,4.5,"10,000,000+"
147,4.5,"100,000+"
148,4.4,"1,000,000+"
149,4.5,"10,000,000+"
150,4.6,"500,000+"
151,4.8,"1,000,000+"
152,3.9,"100,000,000+"
153,4.6,"5,000,000+"
154,4.2,"100,000+"
155,4.1,"10,000,000+"
156,4.7,"500,000+"
157,4.2,"10,000,000+"
158,4.3,"1,000,000+"
159,3.3,"1,000,000+"
160,4.6,"500,000+"
161,4.8,"1,000,000+"
162,4.7,"500,000+"
164,4.1,"5,000,000+"
165,4.6,"100,000+"
166,4.1,"5,000,000+"
167,4.6,"500,000+"
168,4.7,"1,000,000+"
169,4.5,"500,000+"
170,3.9,"500,000+"
171,4.4,"1,000,000+"
172,4.3,"5,000,000+"
173,4.2,"10,000,000+"
174,4.5,"100,000+"
175,4.4,"100,000+"
176,3.4,"100,000+"
177,4.9,"50,000+"
178,4.6,"500,000+"
179,4.4,"10,000,000+"
181,4.4,"1,000,000+"
182,4.4,"1,000,000+"
183,4.4,"1,000,000+"
184,3.5,"500,000+"
186,4.4,"10,000,000+"
187,4.1,"10,000,000+"
188,4.3,"50,000,000+"
189,4.4,"10,000,000+"
190,4.3,"5,000,000+"
191,4.3,"1,000,000+"
192,4.1,"50,000,000+"
193,4.4,"5,000,000+"
194,4.3,"100,000,000+"
195,3.9,"1,000,000+"
196,4.8,"1,000,000+"
197,4.5,"500,000+"
198,4.4,"10,000,000+"
199,4.0,"5,000,000+"
200,4.3,"1,000,000+"
201,4.0,"50,000,000+"
202,4.2,"10,000,000+"
203,4.5,"1,000,000+"
204,4.2,"10,000,000+"
205,4.2,"5,000,000+"
206,4.6,"5,000,000+"
207,4.1,"5,000,000+"
208,4.6,"5,000,000+"
209,3.1,"100,000+"
210,3.9,"1,000,000+"
211,4.3,"1,000,000+"
212,4.1,"1,000,000+"
213,4.4,"10,000,000+"
214,4.1,"5,000,000+"
215,4.1,"1,000,000+"
216,4.5,"5,000,000+"
217,4.4,"100,000+"
218,4.4,"10,000,000+"
219,4.3,"1,000,000+"
220,4.4,"1,000,000+"
221,4.6,"100,000+"
222,4.2,"5,000,000+"
223,4.4,"1,000,000+"
224,4.7,"100,000+"
225,3.8,"50,000,000+"
226,3.9,"5,000,000+"
228,4.3,"1,000,000+"
229,4.2,"5,000,000+"
230,4.4,"1,000,000+"
231,4.7,"10,000,000+"
232,4.5,"10,000,000+"
233,4.2,"1,000,000+"
234,4.7,"100,000+"
235,4.8,"100,000+"
236,4.2,"10,000,000+"
237,4.2,"50,000+"
238,4.3,"5,000,000+"
239,4.4,"5,000,000+"
240,4.4,"5,000,000+"
241,4.1,"100,000+"
242,3.8,"100,000+"
243,4.3,"1,000,000+"
244,3.8,"500,000+"
245,3.5,"100,000+"
246,4.1,"500,000+"
247,4.6,"500,000+"
248,4.3,"1,000,000+"
249,4.5,"1,000,000+"
250,4.1,"1,000,000+"
251,4.5,"100,000+"
252,4.6,"100,000+"
253,4.0,"1,000,000+"
254,4.2,"1,000,000+"
255,4.4,"10,000,000+"
256,4.4,"10,000,000+"
257,4.0,"100,000+"
258,4.2,"100,000+"
259,4.2,"5,000,000+"
260,4.1,"50,000+"
261,4.0,"1,000,000+"
262,3.8,"1,000,000+"
263,3.9,"500,000+"
264,3.9,"10,000,000+"
265,4.2,"10,000,000+"
266,4.2,"50,000+"
267,4.3,"5,000,000+"
268,4.4,"5,000,000+"
269,4.4,"5,000,000+"
270,4.1,"100,000+"
271,3.8,"100,000+"
272,4.3,"1,000,000+"
273,3.8,"500,000+"
274,3.5,"100,000+"
275,4.1,"500,000+"
276,4.6,"500,000+"
277,4.3,"1,000,000+"
278,4.5,"1,000,000+"
279,4.1,"1,000,000+"
280,4.5,"100,000+"
281,4.6,"100,000+"
282,4.0,"1,000,000+"
283,4.2,"1,000,000+"
284,4.3,"1,000,000+"
285,4.2,"5,000,000+"
286,4.4,"1,000,000+"
287,4.7,"10,000,000+"
288,4.5,"10,000,000+"
289,4.2,"1,000,000+"
290,4.7,"100,000+"
291,4.8,"100,000+"
292,4.1,"50,000,000+"
293,4.3,"100,000,000+"
294,4.4,"5,000,000+"
295,4.5,"10,000+"
296,4.3,"1,000,000+"
297,4.5,"10,000,000+"
298,4.6,"500,000+"
299,4.7,"1,000,000+"
300,4.7,"500,000+"
301,4.8,"50,000+"
302,3.9,"50,000+"
303,4.1,"50,000+"
304,4.4,"1,000,000+"
305,4.6,"10,000+"
306,4.5,"10,000+"
307,4.7,"10,000+"
308,4.4,"10,000+"
309,4.5,"10,000+"
310,3.9,"100,000+"
311,3.2,"5,000,000+"
312,3.2,"100,000+"
313,4.1,"1,000,000+"
314,4.5,"100,000+"
315,4.2,"1,000,000+"
316,4.2,"1,000,000+"
317,3.7,"1,000,000+"
318,4.5,"1,000,000+"
319,4.6,"100,000+"
320,4.5,"5,000,000+"
322,4.7,"100,000+"
323,4.4,"10,000+"
324,3.5,"10,000+"
325,3.3,"5,000+"
326,4.5,"500,000+"
327,4.4,"1,000,000+"
328,4.2,"5,000+"
329,5.0,"1,000+"
330,4.4,"5,000,000+"
331,4.7,"10,000+"
332,4.4,"50,000+"
333,4.4,"1,000,000+"
334,4.6,"100,000+"
335,4.0,"100,000,000+"
336,4.4,"100,000,000+"
337,4.3,"10,000,000+"
338,4.3,"100,000,000+"
339,4.4,"100,000,000+"
340,4.3,"100,000,000+"
341,4.0,"100,000,000+"
342,4.3,"100,000,000+"
343,4.3,"5,000,000+"
344,4.4,"100,000,000+"
345,4.3,"100,000,000+"
346,4.3,"100,000,000+"
347,4.3,"100,000,000+"
348,4.3,"50,000,000+"
349,4.3,"5,000,000+"
350,4.0,"5,000,000+"
351,4.5,"100,000,000+"
352,4.3,"10,000,000+"
353,3.7,"10,000,000+"
354,4.5,"10,000,000+"
355,3.9,"10,000,000+"
356,4.4,"100,000,000+"
357,3.6,"1,000,000+"
358,4.4,"1,000,000+"
359,4.2,"10,000,000+"
360,4.4,"5,000,000+"
361,4.1,"10,000,000+"
362,4.4,"10,000,000+"
363,4.3,"100,000,000+"
364,4.2,"5,000,000+"
365,4.2,"100,000,000+"
366,4.4,"100,000,000+"
367,4.4,"10,000,000+"
368,3.9,"1,000,000+"
369,4.2,"100,000,000+"
370,4.4,"100,000,000+"
371,4.6,"100,000,000+"
372,4.3,"10,000,000+"
373,4.3,"1,000,000+"
374,4.4,"100,000+"
375,3.7,"10,000,000+"
376,4.3,"10,000,000+"
377,3.9,"10,000,000+"
378,4.5,"100,000,000+"
379,3.7,"5,000,000+"
380,4.3,"5,000,000+"
381,4.4,"100,000,000+"
382,4.0,"100,000,000+"
383,4.3,"100,000,000+"
384,4.0,"10,000,000+"
385,4.3,"100,000,000+"
386,4.0,"100,000,000+"
387,4.1,"10,000,000+"
388,4.2,"5,000,000+"
389,4.2,"50,000,000+"
390,4.2,"100,000,000+"
391,4.1,"100,000,000+"
392,4.4,"100,000,000+"
393,4.3,"100,000,000+"
394,4.2,"10,000,000+"
395,4.4,"100,000,000+"
396,4.2,"100,000,000+"
397,4.1,"1,000,000+"
398,4.3,"10,000,000+"
399,4.3,"10,000,000+"
400,4.5,"10,000,000+"
401,4.3,"10,000,000+"
402,4.2,"10,000,000+"
403,4.2,"100,000,000+"
404,4.5,"10,000,000+"
405,4.3,"1,000,000+"
406,4.3,"100,000,000+"
407,4.3,"100,000,000+"
408,4.4,"1,000,000+"
409,4.2,"1,000,000+"
410,4.3,"10,000,000+"
411,4.3,"100,000,000+"
412,4.4,"100,000,000+"
413,4.6,"50,000,000+"
414,4.3,"10,000,000+"
415,4.4,"100,000,000+"
416,4.2,"1,000,000+"
417,4.5,"100,000,000+"
418,4.5,"50,000,000+"
419,4.4,"100,000,000+"
420,4.5,"100,000,000+"
421,4.1,"1,000,000+"
422,4.2,"1,000,000+"
423,4.1,"1,000,000+"
424,4.3,"10,000,000+"
425,4.1,"500,000+"
426,4.2,"500,000+"
427,4.0,"100,000+"
428,4.2,"10,000,000+"
429,4.2,"10,000,000+"
430,4.2,"5,000,000+"
431,4.3,"100,000,000+"
432,4.3,"1,000,000+"
433,4.4,"1,000,000+"
434,4.2,"5,000,000+"
435,4.4,"10,000,000+"
436,4.1,"1,000,000+"
437,4.2,"10,000,000+"
438,4.8,"1,000,000+"
439,4.4,"1,000,000+"
440,4.4,"10,000,000+"
441,4.4,"10,000,000+"
442,4.0,"5,000,000+"
443,4.5,"10,000,000+"
444,4.4,"5,000,000+"
445,4.1,"1,000,000+"
446,4.2,"1,000,000+"
447,4.5,"5,000,000+"
448,4.3,"1,000,000+"
449,4.5,"100,000,000+"
450,4.0,"1,000,000+"
451,4.3,"100,000,000+"
452,4.3,"100,000,000+"
453,4.2,"5,000,000+"
454,4.5,"10,000,000+"
455,4.6,"1,000,000+"
456,4.1,"1,000,000+"
457,4.0,"1,000,000+"
458,4.2,"10,000,000+"
459,4.6,"50,000,000+"
460,4.1,"10,000+"
461,4.3,"5,000,000+"
462,4.2,"1,000,000+"
463,4.3,"500,000+"
464,4.0,"100,000,000+"
465,4.3,"100,000,000+"
466,4.2,"50,000,000+"
467,4.3,"100,000,000+"
468,4.1,"100,000,000+"
469,4.2,"100,000,000+"
470,4.1,"1,000,000+"
471,4.6,"5,000,000+"
472,4.3,"10,000,000+"
473,4.2,"10,000,000+"
474,4.2,"100,000,000+"
475,4.3,"100,000,000+"
476,4.2,"10,000+"
477,2.6,"1,000+"
481,3.5,100+
482,4.0,"10,000,000+"
483,4.1,"10,000,000+"
484,3.7,"10,000,000+"
485,4.1,"100,000+"
486,4.2,"500,000+"
487,4.5,"5,000,000+"
488,4.4,"1,000,000+"
489,4.2,"10,000,000+"
490,4.0,"1,000,000+"
491,4.1,"10,000,000+"
492,3.1,"5,000,000+"
493,4.4,"5,000,000+"
494,4.2,"100,000+"
495,4.1,"500,000+"
496,3.9,"1,000,000+"
497,4.3,"1,000,000+"
498,4.4,"10,000+"
499,3.5,"1,000,000+"
500,4.0,"1,000,000+"
501,3.3,"100,000+"
502,4.5,"10,000,000+"
503,4.4,"1,000,000+"
504,4.1,"100,000+"
505,3.9,"500,000+"
506,3.9,"5,000+"
507,3.6,"500,000+"
508,4.0,"5,000,000+"
509,3.6,"1,000,000+"
510,3.4,"100,000+"
511,4.2,"1,000,000+"
512,4.1,"1,000,000+"
513,3.4,"100,000+"
514,3.0,"100,000+"
515,4.6,"500,000+"
516,4.1,"500,000+"
517,3.9,"500,000+"
518,1.9,"100,000+"
519,3.5,"500,000+"
520,2.5,"500,000+"
521,3.9,"100,000+"
522,3.4,"50,000+"
523,3.5,"1,000,000+"
524,4.4,"1,000,000+"
525,3.8,"100,000+"
526,4.2,"100,000+"
527,2.5,"100,000+"
528,2.8,"10,000+"
529,4.1,"100,000+"
530,4.2,"1,000,000+"
531,3.5,"100,000+"
532,4.3,"10,000,000+"
533,3.3,"500,000+"
534,4.1,"100,000+"
535,4.2,"1,000,000+"
536,3.5,"50,000+"
537,4.2,"5,000,000+"
538,4.4,"500,000+"
539,4.1,"100,000+"
540,4.2,"100,000+"
541,4.3,"500,000+"
542,4.1,"10,000,000+"
543,4.0,"1,000,000+"
544,4.1,"100,000+"
545,4.2,"500,000+"
546,3.0,"100,000+"
547,4.4,"1,000,000+"
548,4.5,"5,000,000+"
549,2.5,"500,000+"
550,4.1,"500,000+"
551,4.2,"10,000,000+"
552,4.0,"10,000+"
553,4.1,"10,000,000+"
554,1.9,"100,000+"
555,3.3,"100,000+"
556,4.4,"1,000,000+"
557,4.1,"500,000+"
558,3.8,"100,000+"
559,4.1,"1,000,000+"
560,4.2,"100,000+"
561,4.0,"1,000,000+"
562,4.5,"10,000,000+"
563,3.7,"50,000+"
564,3.9,"500,000+"
565,3.5,"1,000,000+"
566,3.9,"100,000+"
567,4.0,"10,000+"
568,4.6,"500,000+"
569,4.0,"1,000,000+"
570,4.1,"100,000+"
571,4.2,"10,000+"
572,3.3,"10,000+"
573,4.4,"10,000+"
574,4.3,"10,000,000+"
575,4.2,"1,000,000+"
576,3.9,"500,000+"
577,4.3,"500,000+"
578,3.4,"500,000+"
579,4.2,"1,000,000+"
580,4.1,"100,000+"
581,4.0,"500,000+"
582,3.6,"10,000+"
583,4.2,"100,000+"
584,3.5,"100,000+"
585,4.0,"500,000+"
586,4.1,"100,000+"
587,4.1,"1,000,000+"
588,2.8,"10,000+"
589,4.4,"10,000+"
590,4.4,"1,000,000+"
591,4.2,"10,000,000+"
592,4.1,"10,000+"
593,4.2,"100,000+"
594,3.9,"10,000+"
595,4.1,"1,000,000+"
596,4.2,"1,000,000+"
597,3.9,"50,000+"
598,4.0,"10,000+"
599,4.2,"500,000+"
600,4.5,"5,000,000+"
601,3.9,"1,000,000+"
602,3.6,"1,000+"
603,4.4,"5,000+"
604,3.5,"1,000+"
605,4.4,500+
606,4.8,"5,000+"
607,4.6,"10,000+"
608,4.7,100+
609,4.8,"10,000+"
611,2.7,100+
612,5.0,"1,000+"
614,4.8,"1,000+"
615,5.0,100+
616,4.8,500+
618,4.9,"5,000+"
619,3.0,100+
622,4.7,"5,000+"
625,1.0,10+
633,5.0,500+
634,4.7,500+
636,5.0,100+
640,5.0,100+
645,3.0,500+
646,4.1,"1,000+"
654,5.0,100+
655,3.7,"10,000+"
656,4.5,500+
657,4.2,"1,000+"
661,4.3,100+
662,4.1,"1,000,000+"
663,1.9,"100,000+"
664,4.1,"100,000+"
665,4.4,"5,000+"
667,3.9,"1,000,000+"
668,3.9,"5,000+"
670,4.0,"5,000,000+"
671,4.4,500+
672,4.7,100+
673,3.8,"100,000+"
674,4.4,"1,000,000+"
675,4.4,"500,000+"
676,3.6,"1,000+"
677,4.4,"10,000+"
678,2.7,100+
679,4.3,"500,000+"
680,4.6,"10,000+"
681,2.8,"10,000+"
682,3.5,"1,000+"
684,3.4,500+
685,4.8,"5,000+"
686,4.7,"10,000+"
687,4.8,"10,000+"
688,4.8,"50,000+"
689,4.7,"10,000+"
690,4.1,"100,000+"
691,3.5,"5,000+"
692,4.7,"10,000+"
693,3.8,"1,000+"
694,2.9,"10,000+"
695,4.5,"5,000,000+"
696,3.3,"100,000+"
697,4.1,"1,000,000+"
699,4.7,"100,000,000+"
700,4.6,"10,000,000+"
701,4.7,"100,000+"
702,4.6,"5,000,000+"
703,4.7,"10,000,000+"
705,4.5,"5,000,000+"
706,4.7,"1,000,000+"
707,4.8,"500,000+"
708,4.6,"500,000+"
709,4.6,"1,000,000+"
710,4.6,"1,000,000+"
711,4.2,"5,000,000+"
712,4.9,"1,000,000+"
713,3.8,"500,000+"
714,4.2,"5,000,000+"
715,4.4,"500,000+"
716,4.4,"1,000,000+"
717,4.3,"10,000,000+"
718,4.5,"10,000,000+"
719,4.4,"1,000,000+"
720,4.6,"5,000,000+"
721,3.9,"50,000+"
722,4.4,"1,000,000+"
723,4.3,"1,000,000+"
724,4.4,"1,000,000+"
725,4.2,"1,000,000+"
726,4.4,"1,000,000+"
727,4.0,"500,000+"
728,4.2,"1,000,000+"
729,3.8,"5,000,000+"
730,4.5,"1,000,000+"
731,4.7,"500,000+"
732,4.5,"500,000+"
733,4.3,"100,000+"
734,4.2,"10,000,000+"
735,4.3,"100,000+"
736,4.7,"5,000,000+"
737,4.7,"10,000,000+"
738,4.6,"5,000,000+"
739,4.6,"10,000,000+"
740,4.6,"10,000,000+"
741,4.5,"1,000,000+"
742,4.4,"5,000,000+"
743,4.6,"1,000,000+"
744,4.5,"5,000,000+"
745,4.5,"5,000,000+"
746,4.2,"10,000,000+"
747,4.4,"10,000,000+"
748,4.4,"1,000,000+"
749,4.2,"1,000,000+"
750,4.5,"1,000,000+"
751,4.1,"1,000,000+"
752,4.0,"10,000+"
753,4.1,"50,000+"
754,4.3,"1,000,000+"
755,4.3,"1,000,000+"
756,4.3,"1,000,000+"
757,4.5,"1,000,000+"
758,4.6,"1,000,000+"
759,4.1,"1,000,000+"
760,4.6,"1,000,000+"
761,4.7,"1,000,000+"
762,4.7,"1,000,000+"
763,4.3,"1,000,000+"
764,4.7,"1,000,000+"
765,4.6,"100,000+"
766,4.6,"1,000,000+"
767,4.6,"100,000+"
768,4.3,"10,000+"
769,4.2,"10,000+"
770,4.0,"50,000+"
771,4.5,"500,000+"
772,4.2,"100,000+"
773,4.1,"100,000+"
774,4.4,"100,000+"
775,4.0,"10,000+"
776,4.5,"100,000+"
777,4.4,"100,000+"
778,4.0,"50,000+"
779,4.2,"50,000+"
780,4.3,"100,000+"
781,4.2,"100,000+"
782,4.6,"5,000,000+"
783,4.6,"10,000,000+"
784,4.7,"100,000,000+"
785,4.6,"10,000,000+"
786,4.4,"5,000,000+"
787,4.5,"1,000,000+"
788,4.3,"1,000,000+"
789,4.6,"1,000,000+"
790,4.5,"5,000,000+"
791,4.2,"10,000,000+"
792,4.2,"1,000,000+"
793,4.7,"10,000,000+"
794,4.5,"1,000,000+"
795,4.6,"1,000,000+"
796,4.3,"10,000,000+"
797,4.2,"1,000,000+"
798,4.7,"5,000,000+"
799,4.7,"100,000,000+"
800,4.4,"5,000,000+"
801,4.5,"5,000,000+"
802,4.4,"1,000,000+"
803,4.0,"500,000+"
804,4.6,"1,000,000+"
805,4.4,"1,000,000+"
806,4.7,"10,000,000+"
807,4.7,"10,000,000+"
808,4.3,"10,000,000+"
809,4.1,"1,000,000+"
810,4.2,"500,000+"
811,4.3,"1,000,000+"
812,4.3,"1,000,000+"
813,4.3,"50,000+"
814,4.0,"1,000,000+"
815,4.2,"100,000+"
816,4.0,"100,000+"
817,4.0,"100,000+"
818,3.8,"100,000+"
819,4.6,"10,000,000+"
820,4.1,"10,000,000+"
821,3.9,"100,000+"
822,4.1,"10,000+"
823,4.5,"10,000,000+"
824,4.2,"10,000,000+"
825,4.4,"10,000,000+"
826,4.7,"100,000,000+"
827,4.0,"500,000+"
828,4.4,"5,000,000+"
829,4.4,"5,000,000+"
830,4.0,"500,000+"
831,4.5,"5,000,000+"
832,4.7,"10,000,000+"
833,4.3,"10,000,000+"
834,4.5,"500,000+"
835,4.3,"10,000,000+"
836,4.1,"1,000,000+"
837,4.3,"1,000,000+"
838,4.5,"1,000,000+"
839,4.2,"1,000,000+"
840,4.6,"1,000,000+"
841,3.5,"100,000+"
842,4.2,"10,000,000+"
843,4.4,"10,000,000+"
844,4.4,"5,000,000+"
845,4.6,"10,000,000+"
846,4.3,"10,000,000+"
847,4.5,"5,000,000+"
848,4.8,"1,000,000+"
849,4.4,"100,000+"
850,4.1,"1,000,000+"
851,4.9,"1,000+"
852,4.7,"1,000+"
853,4.7,"500,000+"
854,4.7,"100,000+"
855,4.4,"100,000,000+"
856,4.0,"1,000,000+"
857,4.2,"1,000,000+"
858,4.3,"10,000,000+"
859,4.5,"50,000,000+"
860,3.5,"10,000,000+"
861,4.2,"5,000,000+"
862,3.1,"5,000,000+"
863,4.6,"10,000,000+"
864,4.2,"5,000,000+"
865,4.3,"100,000,000+"
866,4.3,"100,000,000+"
867,4.1,"5,000,000+"
868,3.8,"1,000,000+"
869,3.4,"5,000,000+"
870,4.3,"5,000,000+"
871,4.4,"1,000,000+"
872,4.4,"1,000,000+"
873,4.0,"10,000,000+"
874,3.7,"100,000,000+"
875,3.9,"5,000,000+"
876,4.5,"10,000,000+"
877,4.4,"1,000,000+"
878,4.3,"10,000,000+"
879,4.2,"50,000,000+"
880,4.2,"5,000,000+"
881,4.5,"10,000,000+"
882,4.7,"1,000,000+"
883,4.5,"10,000,000+"
884,4.5,"1,000,000+"
885,3.4,"10,000,000+"
886,4.2,"50,000,000+"
887,4.3,"1,000,000+"
888,4.2,"100,000,000+"
889,4.6,"50,000,000+"
890,4.1,"1,000,000+"
891,4.2,"5,000,000+"
892,4.2,"50,000,000+"
893,4.3,"100,000,000+"
894,4.4,"1,000,000+"
895,3.9,"100,000+"
896,4.1,"1,000,000+"
897,4.3,"1,000,000+"
898,4.5,"10,000,000+"
899,4.6,"10,000,000+"
900,3.6,"100,000+"
901,4.3,"100,000+"
902,4.3,"1,000,000+"
903,4.2,"100,000,000+"
904,4.4,"100,000,000+"
905,4.1,"500,000+"
906,4.1,"100,000+"
907,4.2,"100,000+"
908,3.9,"1,000,000+"
909,4.2,"1,000,000+"
910,3.7,"10,000,000+"
911,4.5,"1,000,000+"
912,3.7,"10,000,000+"
913,3.8,"10,000,000+"
914,4.3,"10,000,000+"
915,3.0,"50,000+"
916,4.1,"1,000,000+"
917,4.2,"10,000,000+"
918,4.1,"1,000,000+"
919,3.9,"5,000,000+"
920,4.0,"1,000,000+"
921,4.4,"5,000,000+"
922,4.2,"1,000,000+"
923,4.0,"10,000,000+"
924,3.9,"10,000,000+"
925,4.0,"1,000,000+"
926,4.2,"1,000,000+"
927,4.0,"1,000,000+"
928,4.3,"1,000,000+"
929,3.9,"1,000,000+"
930,4.2,"100,000,000+"
931,4.4,"100,000,000+"
932,4.3,"10,000,000+"
933,3.7,"10,000,000+"
934,4.3,"10,000,000+"
935,3.7,"10,000,000+"
936,3.8,"10,000,000+"
937,4.2,"10,000,000+"
938,4.0,"10,000,000+"
939,3.9,"5,000,000+"
940,4.4,"5,000,000+"
941,4.5,"500,000+"
942,4.1,"5,000,000+"
943,4.1,"1,000,000+"
944,3.9,"10,000,000+"
945,4.5,"10,000,000+"
946,4.0,"1,000,000+"
947,4.1,"1,000,000+"
948,3.6,"500,000+"
949,3.8,"1,000,000+"
950,4.0,"1,000,000+"
951,4.2,"1,000,000+"
952,3.7,"1,000,000+"
953,3.8,"10,000,000+"
954,3.7,"1,000,000+"
955,4.1,"10,000,000+"
956,3.7,"10,000,000+"
957,3.9,"1,000,000+"
958,4.4,"100,000,000+"
959,4.3,"10,000,000+"
960,3.9,"10,000,000+"
961,3.7,"10,000,000+"
962,3.7,"10,000,000+"
963,4.2,"10,000,000+"
964,4.3,"10,000,000+"
965,4.0,"10,000,000+"
966,4.1,"500,000+"
967,3.9,"5,000,000+"
968,4.5,"10,000,000+"
969,3.9,"1,000,000+"
970,4.1,"1,000,000+"
971,4.3,"10,000,000+"
972,4.4,"5,000,000+"
973,4.1,"10,000,000+"
974,4.0,"1,000,000+"
975,3.9,"10,000,000+"
976,3.9,"100,000+"
977,4.0,"1,000,000+"
978,4.1,"1,000,000+"
979,4.2,"1,000,000+"
980,3.8,"1,000,000+"
981,4.0,"1,000,000+"
982,3.9,"1,000,000+"
983,4.2,"1,000,000+"
984,3.7,"10,000,000+"
985,3.9,"1,000,000+"
986,4.2,"1,000,000+"
987,4.3,"10,000+"
988,4.3,"10,000,000+"
989,4.6,"100,000+"
990,4.3,"100,000+"
991,4.6,"5,000,000+"
992,4.2,"10,000,000+"
993,4.6,"10,000,000+"
994,4.5,"100,000+"
995,4.6,"100,000+"
996,3.9,"1,000,000+"
997,4.2,"1,000,000+"
998,4.4,"1,000,000+"
999,4.2,"1,000,000+"
1000,4.3,"10,000,000+"
1001,4.6,"100,000+"
1002,4.3,"10,000,000+"
1003,4.5,"10,000,000+"
1004,4.0,"100,000+"
1005,4.0,"5,000,000+"
1006,4.5,"500,000+"
1007,4.5,"50,000+"
1008,4.0,"5,000,000+"
1009,4.0,"1,000,000+"
1010,4.2,"10,000+"
1011,4.4,"1,000,000+"
1012,4.6,"100,000+"
1014,4.6,"1,000,000+"
1015,4.1,"100,000+"
1016,4.6,"100,000+"
1017,4.4,"100,000+"
1018,4.6,"50,000+"
1019,4.9,"1,000+"
1020,4.5,"1,000,000+"
1021,4.6,"10,000+"
1022,4.7,500+
1023,4.3,"50,000+"
1026,4.2,"100,000+"
1027,4.3,"100,000+"
1028,5.0,500+
1029,4.4,"100,000+"
1030,5.0,100+
1031,4.5,"100,000+"
1035,4.5,"100,000+"
1036,4.8,"1,000+"
1037,4.4,"100,000+"
1038,5.0,100+
1040,3.7,"50,000+"
1042,4.1,"100,000+"
1044,4.8,"1,000+"
1047,4.6,500+
1048,4.4,"10,000,000+"
1049,4.4,"1,000,000+"
1050,3.6,"5,000,000+"
